geneID	sample	RPKM	Cq	time	type
PLAUR	Comb_0h_sc_A10	3.4506712145782	0.702067384	0h	sc
VIM	Comb_0h_sc_A10	2.3470469712376	0.285974151	0h	sc
FAS	Comb_0h_sc_A10	0	0.803126901	0h	sc
GRN	Comb_0h_sc_A10	3.31432613201545	0.147575536	0h	sc
CDH1	Comb_0h_sc_A10	5.11176397525454	0.920805418	0h	sc
EIF4B	Comb_0h_sc_A10	5.85830405931987	0.117154059	0h	sc
CTSA	Comb_0h_sc_A10	0	0	0h	sc
NTHL1	Comb_0h_sc_A10	2.99635763236934	0.718137227	0h	sc
ERBB3	Comb_0h_sc_A10	0	0.228158873	0h	sc
TFRC	Comb_0h_sc_A10	3.03742131731091	0	0h	sc
LRRC16A	Comb_0h_sc_A10	3.69538368468129	0.632052687	0h	sc
ITGB5	Comb_0h_sc_A10	0	1.286898206	0h	sc
CD59	Comb_0h_sc_A10	0	0	0h	sc
AURKA	Comb_0h_sc_A10	0.629462392677286	0.328009854	0h	sc
BIRC5	Comb_0h_sc_A10	3.80067274953118	0	0h	sc
EZR	Comb_0h_sc_A10	5.08459221960194	0.944704373	0h	sc
ABL1	Comb_0h_sc_A10	0	0.56476279	0h	sc
LGALS1	Comb_0h_sc_A10	0	0	0h	sc
HMOX1	Comb_0h_sc_A10	0	1.063429071	0h	sc
AXIN1	Comb_0h_sc_A10	1.48799187095177	0.069142403	0h	sc
CCNE1	Comb_0h_sc_A10	0	0.657631049	0h	sc
CLEC11A	Comb_0h_sc_A10	0	0	0h	sc
CAV1	Comb_0h_sc_A10	0	0	0h	sc
MET	Comb_0h_sc_A10	0	0	0h	sc
HSPB1	Comb_0h_sc_A10	0.944217562268948	0	0h	sc
SERPINE1	Comb_0h_sc_A10	0	0.05224166	0h	sc
GLI3	Comb_0h_sc_A10	0	0.105218485	0h	sc
BLMH	Comb_0h_sc_A10	3.58472765319551	0	0h	sc
LGALS3BP	Comb_0h_sc_A10	2.57828960137417	0	0h	sc
NANOG	Comb_0h_sc_A10	3.41797723695339	0.071449444	0h	sc
SOD2	Comb_0h_sc_A10	2.41051279934056	0.067617336	0h	sc
VEGFA	Comb_0h_sc_A10	0.884954933072309	0	0h	sc
FN1	Comb_0h_sc_A10	0	0	0h	sc
IGFBP2	Comb_0h_sc_A10	0	0.765863152	0h	sc
PARK7	Comb_0h_sc_A10	3.93822151251817	0.83955168	0h	sc
SCAMP3	Comb_0h_sc_A10	3.57473005254533	0.212656251	0h	sc
MESDC2	Comb_0h_sc_A10	3.29489132745044	0.653630817	0h	sc
CTSD	Comb_0h_sc_A10	0	0	0h	sc
SPP1	Comb_0h_sc_A10	0	0	0h	sc
EPCAM	Comb_0h_sc_A10	3.96964109053326	5.620554373	0h	sc
TNFRSF10B	Comb_0h_sc_A10	0	3.282760726	0h	sc
PLAU	Comb_0h_sc_A10	0	1.595162274	0h	sc
GLO1	Comb_0h_sc_A10	3.74876532653874	2.594131057	0h	sc
LIN28A	Comb_0h_sc_A10	4.48563897056368	0.583348981	0h	sc
LGALS3	Comb_0h_sc_A10	0	0	0h	sc
SPRY2	Comb_0h_sc_A10	1.65332217753076	0	0h	sc
FGF2	Comb_0h_sc_A10	3.55809393374859	0	0h	sc
TP53	Comb_0h_sc_A10	1.96989526030694	3.007378601	0h	sc
SMAD4	Comb_0h_sc_A10	1.95489804804171	0.283399823	0h	sc
ERBB2	Comb_0h_sc_A10	2.29784374640882	1.666758321	0h	sc
SOD1	Comb_0h_sc_A10	3.11846069522452	1.557849314	0h	sc
APP	Comb_0h_sc_A10	3.42314340088731	0.480273966	0h	sc
EPHA2	Comb_0h_sc_A10	1.04781806112935	0	0h	sc
CYR61	Comb_0h_sc_A10	0	0.070543866	0h	sc
PARP1	Comb_0h_sc_A10	4.02137936265841	0.17373513	0h	sc
CCNA2	Comb_0h_sc_A10	3.4427194815465	0.43065084	0h	sc
NOTCH1	Comb_0h_sc_A10	0.832444527450529	1.865960273	0h	sc
MKI67	Comb_0h_sc_A10	3.23673079977981	0	0h	sc
NCAM1	Comb_0h_sc_A10	2.11076076405358	0	0h	sc
THY1	Comb_0h_sc_A10	2.0146292267303	1.866920621	0h	sc
CSTB	Comb_0h_sc_A10	3.29919664340555	0	0h	sc
FGF19	Comb_0h_sc_A10	0	0.251136698	0h	sc
LRPAP1	Comb_0h_sc_A10	0	0.424246972	0h	sc
EDIL3	Comb_0h_sc_A10	3.70895081046568	0	0h	sc
CASP3	Comb_0h_sc_A10	4.08487404340383	6.681551127	0h	sc
FABP5	Comb_0h_sc_A10	1.24459683134239	0	0h	sc
AXL	Comb_0h_sc_A10	4.45618166348794	1.004643677	0h	sc
FADD	Comb_0h_sc_A10	0	0	0h	sc
ADAM9	Comb_0h_sc_A10	2.49638483417778	0	0h	sc
ALCAM	Comb_0h_sc_A10	0	0	0h	sc
ZNF24	Comb_0h_sc_A10	0	2.775637305	0h	sc
METAP1D	Comb_0h_sc_A10	0	0.702513814	0h	sc
AURKB	Comb_0h_sc_A10	0	0	0h	sc
NQO1	Comb_0h_sc_A10	0	0	0h	sc
NPM1	Comb_0h_sc_A10	5.60783707755853	0.360997753	0h	sc
SOX2	Comb_0h_sc_A10	4.49823856778871	0.603466337	0h	sc
L1CAM	Comb_0h_sc_A10	0	0.042788785	0h	sc
POU5F1	Comb_0h_sc_A10	2.45405661374486	2.112866936	0h	sc
MIF	Comb_0h_sc_A10	1.72790249015472	3.946089425	0h	sc
PLAUR	Comb_0h_sc_A11	0	0.016259015	0h	sc
VIM	Comb_0h_sc_A11	0.412989633684093	0.264744073	0h	sc
FAS	Comb_0h_sc_A11	0	1.542960242	0h	sc
GRN	Comb_0h_sc_A11	0	0	0h	sc
CDH1	Comb_0h_sc_A11	5.1732502825969	0.766235674	0h	sc
EIF4B	Comb_0h_sc_A11	5.31379952357458	0.008270552	0h	sc
CTSA	Comb_0h_sc_A11	1.85701393323222	0	0h	sc
NTHL1	Comb_0h_sc_A11	0	0.300584181	0h	sc
ERBB3	Comb_0h_sc_A11	2.04144545875914	0.115703507	0h	sc
TFRC	Comb_0h_sc_A11	2.43066994568349	0	0h	sc
LRRC16A	Comb_0h_sc_A11	3.46677387450599	0.507828796	0h	sc
ITGB5	Comb_0h_sc_A11	3.30255843239825	1.642948171	0h	sc
CD59	Comb_0h_sc_A11	2.73497166842869	0	0h	sc
AURKA	Comb_0h_sc_A11	2.20902967905804	0.037919311	0h	sc
BIRC5	Comb_0h_sc_A11	2.06854915573854	0	0h	sc
EZR	Comb_0h_sc_A11	3.95693225752317	0.663759957	0h	sc
ABL1	Comb_0h_sc_A11	0	0.249186087	0h	sc
LGALS1	Comb_0h_sc_A11	0	0	0h	sc
HMOX1	Comb_0h_sc_A11	0	0	0h	sc
AXIN1	Comb_0h_sc_A11	0	0	0h	sc
CCNE1	Comb_0h_sc_A11	0	0.838455476	0h	sc
CLEC11A	Comb_0h_sc_A11	0	0	0h	sc
CAV1	Comb_0h_sc_A11	0	0	0h	sc
MET	Comb_0h_sc_A11	0	0.089309408	0h	sc
HSPB1	Comb_0h_sc_A11	0	0	0h	sc
SERPINE1	Comb_0h_sc_A11	0	0	0h	sc
GLI3	Comb_0h_sc_A11	0	0.182349041	0h	sc
BLMH	Comb_0h_sc_A11	2.42377754812438	0	0h	sc
LGALS3BP	Comb_0h_sc_A11	2.88622513881068	0	0h	sc
NANOG	Comb_0h_sc_A11	1.59175965641337	0	0h	sc
SOD2	Comb_0h_sc_A11	1.2918519876730299	0	0h	sc
VEGFA	Comb_0h_sc_A11	0.740303314953479	0	0h	sc
FN1	Comb_0h_sc_A11	1.93737613966702	0	0h	sc
IGFBP2	Comb_0h_sc_A11	1.16722965050539	0.405580345	0h	sc
PARK7	Comb_0h_sc_A11	4.37098875668069	1.131347111	0h	sc
SCAMP3	Comb_0h_sc_A11	0	0.187346662	0h	sc
MESDC2	Comb_0h_sc_A11	3.01138165630103	0.327577586	0h	sc
CTSD	Comb_0h_sc_A11	2.4091514648271	0	0h	sc
SPP1	Comb_0h_sc_A11	0	0	0h	sc
EPCAM	Comb_0h_sc_A11	3.85160963133213	6.052195857	0h	sc
TNFRSF10B	Comb_0h_sc_A11	0	2.631828216	0h	sc
PLAU	Comb_0h_sc_A11	0	1.547558697	0h	sc
GLO1	Comb_0h_sc_A11	3.66679264461113	1.952274036	0h	sc
LIN28A	Comb_0h_sc_A11	5.40609734760633	0.615801582	0h	sc
LGALS3	Comb_0h_sc_A11	2.79754371346868	0	0h	sc
SPRY2	Comb_0h_sc_A11	0	0	0h	sc
FGF2	Comb_0h_sc_A11	2.33630509610613	0	0h	sc
TP53	Comb_0h_sc_A11	3.33538011919025	1.060838646	0h	sc
SMAD4	Comb_0h_sc_A11	2.28676465868989	0.24925124	0h	sc
ERBB2	Comb_0h_sc_A11	2.24419797646824	1.17450553	0h	sc
SOD1	Comb_0h_sc_A11	2.95949966941641	1.199738805	0h	sc
APP	Comb_0h_sc_A11	3.53824316544475	0.299823852	0h	sc
EPHA2	Comb_0h_sc_A11	0	0	0h	sc
CYR61	Comb_0h_sc_A11	4.37481068686184	0.29249147	0h	sc
PARP1	Comb_0h_sc_A11	5.3148896063438	0.322100708	0h	sc
CCNA2	Comb_0h_sc_A11	3.2752790545139	0	0h	sc
NOTCH1	Comb_0h_sc_A11	2.07199176660641	0.991436709	0h	sc
MKI67	Comb_0h_sc_A11	2.76174725365484	0	0h	sc
NCAM1	Comb_0h_sc_A11	1.85376226542281	0	0h	sc
THY1	Comb_0h_sc_A11	3.10756774090856	0.966082931	0h	sc
CSTB	Comb_0h_sc_A11	1.61372963012102	0	0h	sc
FGF19	Comb_0h_sc_A11	0	0	0h	sc
LRPAP1	Comb_0h_sc_A11	0.472899025666244	0.482869218	0h	sc
EDIL3	Comb_0h_sc_A11	3.99486846110939	0	0h	sc
CASP3	Comb_0h_sc_A11	3.5715430212625	6.83284448	0h	sc
FABP5	Comb_0h_sc_A11	0	0	0h	sc
AXL	Comb_0h_sc_A11	4.63311130908884	0.835711199	0h	sc
FADD	Comb_0h_sc_A11	0	0	0h	sc
ADAM9	Comb_0h_sc_A11	0.323183198199395	0	0h	sc
ALCAM	Comb_0h_sc_A11	2.12197934989789	0	0h	sc
ZNF24	Comb_0h_sc_A11	3.12326512825238	2.759118942	0h	sc
METAP1D	Comb_0h_sc_A11	0	0.306666161	0h	sc
AURKB	Comb_0h_sc_A11	0	0	0h	sc
NQO1	Comb_0h_sc_A11	3.19888217172618	0	0h	sc
NPM1	Comb_0h_sc_A11	5.35902939968944	0.326813907	0h	sc
SOX2	Comb_0h_sc_A11	5.33129449326166	0.663458127	0h	sc
L1CAM	Comb_0h_sc_A11	0	0	0h	sc
POU5F1	Comb_0h_sc_A11	2.1145356159984	1.705034467	0h	sc
MIF	Comb_0h_sc_A11	2.09613090341945	4.362951256	0h	sc
PLAUR	Comb_0h_sc_A12	0	2.712561681	0h	sc
VIM	Comb_0h_sc_A12	3.96655305610319	0.04656372	0h	sc
FAS	Comb_0h_sc_A12	2.9182396560613	1.908274245	0h	sc
GRN	Comb_0h_sc_A12	0	0.261166847	0h	sc
CDH1	Comb_0h_sc_A12	5.17537404217543	1.640001143	0h	sc
EIF4B	Comb_0h_sc_A12	5.15602537403446	0	0h	sc
CTSA	Comb_0h_sc_A12	0	0	0h	sc
NTHL1	Comb_0h_sc_A12	0	0.615077791	0h	sc
ERBB3	Comb_0h_sc_A12	0	0.368015871	0h	sc
TFRC	Comb_0h_sc_A12	3.14480220940989	0	0h	sc
LRRC16A	Comb_0h_sc_A12	4.4009871261433	0.949153023	0h	sc
ITGB5	Comb_0h_sc_A12	2.214093854804	2.168529192	0h	sc
CD59	Comb_0h_sc_A12	3.10333022204946	0	0h	sc
AURKA	Comb_0h_sc_A12	3.75858561112261	0.238063561	0h	sc
BIRC5	Comb_0h_sc_A12	4.85551320353145	0.089253377	0h	sc
EZR	Comb_0h_sc_A12	4.86326115845419	0.921406148	0h	sc
ABL1	Comb_0h_sc_A12	0	0.596977939	0h	sc
LGALS1	Comb_0h_sc_A12	3.71007254153234	0.009596767	0h	sc
HMOX1	Comb_0h_sc_A12	0	1.761946372	0h	sc
AXIN1	Comb_0h_sc_A12	0	0.133019474	0h	sc
CCNE1	Comb_0h_sc_A12	4.73945114096188	0.912812951	0h	sc
CLEC11A	Comb_0h_sc_A12	0	0	0h	sc
CAV1	Comb_0h_sc_A12	0	0.318196756	0h	sc
MET	Comb_0h_sc_A12	0	0	0h	sc
HSPB1	Comb_0h_sc_A12	1.30310216144764	0.093383635	0h	sc
SERPINE1	Comb_0h_sc_A12	0	0.008158708	0h	sc
GLI3	Comb_0h_sc_A12	1.21506899280912	0	0h	sc
BLMH	Comb_0h_sc_A12	1.94311467522778	0.159200607	0h	sc
LGALS3BP	Comb_0h_sc_A12	0	0	0h	sc
NANOG	Comb_0h_sc_A12	2.2959965817845	0.043971619	0h	sc
SOD2	Comb_0h_sc_A12	0	0.374246282	0h	sc
VEGFA	Comb_0h_sc_A12	0	0.468515957	0h	sc
FN1	Comb_0h_sc_A12	2.9153495731878	0	0h	sc
IGFBP2	Comb_0h_sc_A12	2.3212804486644	1.655351098	0h	sc
