Sample	cq_sum	nrDetectedGenes	info	time	type	plate	FADD	VEGFA	TNC	IGFBP7	L1CAM	ANXA1	GLO1	METAP1D	BLMH	EZR	EPHA2	FGF2	CSTB	CDH1	GRN	PLAUR	AXIN1	MKI67	CLEC11A	LGALS3	VIM	NOTCH1	ADAM9	PARK7	SERPINE1	FN1	TNFRSF10B	HMOX1	SOD1	CHI3L1	IGFBP2	GLI3	NTHL1	CASP3	HSPB1	POU5F1	CXCL1	LGALS3BP	AXL	FGF19	PLAU	FAS	EPCAM	TFPI	EDIL3	CXCL8	SCAMP3	CYR61	ERBB2	ERBB3	CCNA2	CTSD	MESDC2	FABP5	MIA	TFRC	ITGB5	SMAD4	ZNF24	LGALS1	AURKB	MIF	SPRY2	BIRC5	NPM1	ALCAM	AURKA	TP53	NT5E	LRPAP1	CD59	PARP1	CAV1	LIN28A	EIF4B	FAP	SOX2	ABL1	MET	SPP1	THY1	VCAM1	LRRC16A	EGF	NCAM1	NANOG	CCNE1	IKBKG	APP	SOD2	NQO1	CTSA
1	Comb_0h_FACS_G12	407.718699054	85	Comb	0h	FACS	G12	1.068709469	1.779254068	1.865212822	0.094966433	0.202247557	0.77526919	9.50552732	6.940145823	6.143503128	7.11504899	3.881304715	5.243747947	6.863879938	6.290750351	3.43548205	7.549800597	3.480859321	3.394264391	2.193914865	2.987837325	1.304428766	7.478347032	4.142987689	6.712129458	1.389646205	0	10.10212258	8.166574629	6.698292383	0	6.187962233	4.332932547	3.628237204	14.64229822	5.273231355	8.805890652	0	2.720018042	5.915096232	3.321744899	9.303140187	7.946220164	12.38377341	2.140225738	3.188233474	0	5.491685952	2.882819337	7.974311727	2.423907164	4.624741519	4.32547832	5.951514784	5.708085409	0.052014558	1.752062232	9.033059052	4.604773782	9.172514714	1.902091977	3.221836889	9.540302932	1.02100797	1.0587014	3.047452844	2.338156354	3.573776312	7.543665059	2.633800732	7.028005339	2.165398128	2.550600723	4.284372247	7.570420808	4.042154359	0	5.714367077	5.571272175	3.986993398	1.584532634	8.207062018	0	5.271100934	0	2.053110603	2.144916657	5.687082014	6.729065298	5.755285158	4.901715352	4.200993388	1.797230326
2	Comb_0h_FACS_H12	387.912013669	83	Comb	0h	FACS	H12	1.114330853	1.769291959	1.554613584	0	0.198792092	0	9.222971806	6.310205005	5.683439538	6.984081756	3.629176898	4.744705531	6.526742689	6.238258346	2.964821247	7.244987361	3.448728198	3.056913259	1.250591609	2.528057238	0.854848563	7.284536826	3.975597188	6.750345575	1.29816802	0	9.789734564	7.986468203	6.552802227	0	6.240149126	4.017723891	3.970062104	13.81354721	5.019028374	8.652524942	0.423782326	2.054425003	5.769901093	3.020800541	8.664778425	7.600967693	12.21997587	1.349116162	2.038691697	0	5.313023827	2.485065443	7.463011723	2.033929007	4.477778827	3.778718323	6.091415631	5.131118472	0	1.346093437	9.160636435	4.641054362	8.855373436	1.809125157	2.505968638	9.539544319	1.578117	1.051996744	3.219428353	2.240915375	3.559874638	7.321738608	2.510907042	6.706371476	1.649810397	2.12460972	4.283066146	7.275067832	4.118002349	0	5.49646172	5.269972239	3.592274318	1.551867006	8.072951153	0	5.313172661	0	1.909598884	2.367037068	5.384027873	6.646828203	5.821678919	4.445596998	4.09281285	1.857286468
3	Comb_0h_sc_A10	57.094345945	52	Comb	0h	sc	A10	0	0	0	0	0.042788785	0	2.594131057	0.702513814	0	0.944704373	0	0	0	0.920805418	0.147575536	0.702067384	0.069142403	0	0	0	0.285974151	1.865960273	0	0.83955168	0.05224166	0	3.282760726	1.063429071	1.557849314	0	0.765863152	0.105218485	0.718137227	6.681551127	0	2.112866936	0	0	1.004643677	0.251136698	1.595162274	0.803126901	5.620554373	0.181989856	0	0	0.212656251	0.070543866	1.666758321	0.228158873	0.43065084	0	0.653630817	0	0	0	1.286898206	0.283399823	2.775637305	0	0	3.946089425	0	0	0.360997753	0	0.328009854	3.007378601	0	0.424246972	0	0.17373513	0	0.583348981	0.117154059	0	0.603466337	0.56476279	0	0	1.866920621	0	0.632052687	0	0	0.071449444	0.657631049	0.689130287	0.480273966	0.067617336	0	0
4	Comb_0h_sc_A11	47.672549802	44	Comb	0h	sc	A11	0	0	0	0	0	0	1.952274036	0.306666161	0	0.663759957	0	0	0	0.766235674	0	0.016259015	0	0	0	0	0.264744073	0.991436709	0	1.131347111	0	0	2.631828216	0	1.199738805	0	0.405580345	0.182349041	0.300584181	6.83284448	0	1.705034467	0	0	0.835711199	0	1.547558697	1.542960242	6.052195857	0.056722729	0	0	0.187346662	0.29249147	1.17450553	0.115703507	0	0	0.327577586	0	0	0	1.642948171	0.24925124	2.759118942	0	0	4.362951256	0	0	0.326813907	0	0.037919311	1.060838646	0	0.482869218	0	0.322100708	0	0.615801582	0.008270552	0	0.663458127	0.249186087	0.089309408	0	0.966082931	0	0.507828796	0	0	0	0.838455476	0.706065842	0.299823852	0	0	0
5	Comb_0h_sc_A12	88.621246993	67	Comb	0h	sc	A12	0	0.468515957	0.480402282	0	0.853883206	0	2.966928894	0.350891495	0.159200607	0.921406148	0	0	0.234521785	1.640001143	0.261166847	2.712561681	0.133019474	0.124296267	0	0.62355599	0.04656372	1.869438938	0	1.341543094	0.008158708	0	3.416600922	1.761946372	1.790790668	1.954419736	1.655351098	0	0.615077791	7.473651386	0.093383635	2.009717248	3.195655269	0	0.768143955	0.035922374	3.736616586	1.908274245	5.175602838	0.733343357	0	2.87645783	0.337203362	0.542275839	1.704068984	0.368015871	0.081993747	0	0.66060401	0	1.730327774	0	2.168529192	0.211088285	2.518806971	0.009596767	0	4.931340135	0.218770032	0.089253377	0.353086058	0.15134106	0.238063561	5.060727587	0	0.943533469	0	2.720156174	0.318196756	0.875389465	0	0	0.77199828	0.596977939	0	0	2.297484067	0	0.949153023	0	0	0.043971619	0.912812951	0.81128318	0.854052053	0.374246282	0.379887577	0
6	Comb_0h_sc_A2	49.985514722	46	Comb	0h	sc	A2	0	0	0.42693339	0	0	0	1.863340331	0.437969243	0	0.694255346	0	0	0	0.648572718	0	0	0.764475204	0.335378734	0	0	0.490250084	1.238613121	0.503580039	0.780172227	0	0	2.579350822	0.777563372	1.070243809	0	0.491309415	0	0.605374496	6.322991975	0	2.30336204	0	0	0.830680566	0	1.538772571	0.184958185	3.992793252	0.102525076	0	0	1.576817094	0	1.17329861	0	0	0	0.343205374	0	0	0	1.610238226	0.265484947	2.478382693	0.834418925	0	3.791188833	0	0	0.193130987	0	0.665585557	1.96720676	0.469815935	0.215961816	0	0.752077029	0	0.437805323	0	0	0.212479025	0.139472589	0.037540582	0.393950443	1.898745599	0	0	0	0	0	0.410409626	0.990991597	0.143841136	0	0	0
7	Comb_0h_sc_A3	56.602907546	41	Comb	0h	sc	A3	0	0	0	0.036240043	0	0	2.588717689	0.739799411	0	1.024276534	0	0	0	1.335929988	0	0.570748631	0	0	0	0	0.097109659	1.563806802	0	1.309112374	0	0	3.089129697	0.586375925	1.794982861	0	1.140398897	0.045135178	0.531263774	7.212112696	0	2.099712379	0	0	0.865505763	0	2.180261122	1.331167678	5.661771494	0	0	0	0.623976165	0	1.277372422	0	0	0	0.401389875	0	0	0	1.674383985	0.218820086	2.396177019	0	0	4.762464591	0	0	0.246613058	0	0	3.254706109	0	0.44771783	0	0	0.419647049	0.784787842	0	0	0.499296416	0.101472651	0	0	0.771834348	0	0.517445481	0	0	0	1.149537274	0.872812245	0.35785237	0.021042135	0	0
8	Comb_0h_sc_A4	67.393133806	52	Comb	0h	sc	A4	0	0	0	0	0	0	2.872641784	0.81260902	0.191851024	1.135275343	0	0	0	1.163939016	0	1.492484622	0.162371359	0	0	0	0	2.433157803	0.199694822	1.434490701	0	0	4.161408641	1.664616974	1.639080786	0.029372982	1.410119864	0	0.372084819	7.425789683	0	2.237018219	0	0	1.003306842	0	3.205992095	1.722966757	5.090298468	0.104985516	0	0	0.81490335	0.076704694	1.634184025	0	0.753604664	0	0.598937617	0	0	0	1.998810802	0.311760629	3.214356641	0.227505714	0	4.554385969	0.3616781	0	0.486496037	0	0.630688793	0.755063308	0.127099731	0.593459452	0	0.722954656	0.533201448	0.94986879	0	0	0.634397086	0.493954219	0.381003182	0	2.21976578	0	0.234977728	0	0	0.006722156	0.169859667	1.333005141	0.483465745	0	0.124761542	0
9	Comb_0h_sc_A5	62.817659101	63	Comb	0h	sc	A5	0	0	0	0.172400173	0.133724488	0	2.706154562	0.584140054	0	0.788074659	0	0	0	0.801135687	0	0.427664717	0.461231871	0.353719937	0.000355603	0	0.361788757	2.069387315	0	1.134599906	0.098792927	0.109371998	3.51431415	1.344232213	1.392378407	0	1.158637508	0.146991002	0.82120185	6.906821071	0	2.499259792	0	0	0.919673951	0.045754072	1.82117818	0.830908524	5.166334877	0.416592228	0	0	0.701976816	0	1.410567535	0.25704333	0.03881324	0	0.725073047	0	0	0	3.184521684	0.530008928	2.386573868	0.508626443	0.021269743	4.130904548	0	0.063528396	0.624009397	0.10748271	0.557134031	1.332177198	0.186827907	0.460797778	0	0.549545207	0.315650381	0.631196232	0.090295288	0	0.422722792	0.158072896	0.079478511	0.007145497	2.12115926	0	0.735722195	0	0	0.453857924	0.706218918	1.211456452	0.49839896	0.116058829	0.306522681	0
10	Comb_0h_sc_A6	79.921245879	63	Comb	0h	sc	A6	0.002897613	0	0	0	0.133810825	0	3.25901114	0.525380677	0.349820132	1.045008089	0.015971954	0	0	1.234775217	0	1.091637616	0.580021248	0.146734343	0	0	0.177495288	2.504061037	0.166248422	1.773256902	0.105746747	0.071596857	3.476094945	1.309281472	1.781606923	0	1.426580346	0	0.784714908	7.477366084	0	2.513749276	0	0	1.322701504	0.469705383	2.356762189	1.278593643	6.350772774	0.367486011	0	0	0.442330914	0.18866805	1.741841843	0.349844349	0.439667366	0	0.925354058	0	0	0	3.256698898	0.322732291	3.306642991	0.064294998	0	4.831528723	0	0.175381339	0.758541651	0	0.573346127	5.211521436	0.126666392	1.049799689	0	0.193130747	0.813714725	1.302338928	0.299242504	0	0.331709111	0.522071309	1.34215994	0.448136838	2.21290122	0	0.833442576	0	0	0.167062359	0.912431186	1.246864626	1.11973562	0.117822044	0.194731466	0
