Sample	info	time	plate	Protein_sum	nrDetectedProteins	nrOfDetectedGenes	Cyclone	cyclone_G1	cyclone_G2M	cyclone_S	Seurat_CC	seurat_S	seurat_G2M	RNA_tSNE_1	RNA_tSNE_2	RNA_tSNE_3	pseudoTimeRNA	Protein_tSNE_1	Protein_tSNE_2	Protein_tSNE_3	pseudoTimeProtein
Comb_0h_sc_A10	Comb	0h	A10	57.094345945	52	6152	S	0	0.252	0.425	G2M	0.104737773937093	0.107843438539378	-7.72926335078548	14.5532347447564	3.00497904558955	6.23640371659053	9.449413561435177	8.486104343951336	5.1781836902440075	5.931214465330971
Comb_0h_sc_A11	Comb	0h	A11	47.672549802	44	6734	S	0.205	0.164	0.444	S	0.287578927321341	0.0126759844144969	-4.1635309100257	8.40499585690447	4.24177439534613	10.6570943277635	1.7076058983148197	0.1318541063170507	-4.049593271853275	20.771370125066483
Comb_0h_sc_A12	Comb	0h	A12	88.621246993	67	5477	S	0.177	0.04	0.244	S	0.165792023223584	0.0560466928573535	-10.1520419382688	17.0881735646755	3.85939049721199	3.31924461457586	14.375331947780492	12.806632109347836	7.110473778340162	3.2160450502586837
Comb_0h_sc_A2	Comb	0h	A2	49.985514722	46	6468	G2M	0.057	0.943	0	G2M	-0.0309672088705725	0.297181776080192	-9.1992117427348	7.54942905490892	7.56505628317813	6.52094910544478	12.595653849242028	7.071490828600402	1.5538156805417758	2.6654462954898874
Comb_0h_sc_A3	Comb	0h	A3	56.602907546	41	6645	G2M	0	0.753	0.625	S	0.215433307190072	0.116361710417646	-10.9823646585601	7.15027709793903	7.75095435970023	5.28447659597467	7.307515312674048	6.959746632446427	5.454205498471635	7.666004819567604
Comb_0h_sc_A4	Comb	0h	A4	67.393133806	52	7677	G2M	0	1	0	G2M	-0.166632589452093	0.705852513789562	-15.2209689007314	10.6799299477272	4.6447744458831	1.24218320824936	9.283322840315945	12.631009576966898	-5.894347898108403	0
Comb_0h_sc_A5	Comb	0h	A5	62.817659101000004	63	6656	S	0.202	0.448	0	G2M	0.018451223056568	0.361648016608992	-11.8326081093048	12.3635102783631	7.7374042636735	3.04488073059454	12.196246347809957	9.229600602271473	-1.4946941358839323	0.05148812957439588
Comb_0h_sc_A6	Comb	0h	A6	79.921245879	63	7544	G2M	0	0.839	0.723	S	0.226951371095544	0.140684458049483	-15.4424741303992	12.8314779935418	6.19858215080075	0.225310274559166	13.605298783528523	10.193732957847287	7.255564676167547	4.204444081008341
Comb_0h_sc_A7	Comb	0h	A7	65.647364635	57	6391	S	0	0.095	0.41	G2M	-0.0128544098960554	0.0586953622607975	-9.93809409604555	12.9745700640257	8.42072150145394	4.24570769873584	10.585690914678104	12.576226383887166	1.5373413688503268	2.206452277525027
Comb_0h_sc_A8	Comb	0h	A8	52.248466197	49	5410	S	0.021	0.011	0.772	S	0.215121524185965	-0.0661696774626529	-12.7513041663772	6.94983511932629	9.51668014820314	3.80364727387293	7.893505753259916	4.633979575916441	4.8880810413360924	8.378582008141201
