nGene	nUMI	info	time	type	plate	platform1	lane	count	fileName	joint	ID	countSumsGene	countSums_ecc	countSums	sumRPKMs	sumRPKMs_ecc	fracSpikes	nDet.ercc	nrOfDetectedGenes	joint2	CellCycle	cyclone_G1	cyclone_G2M	cyclone_S	orig.ident	tech	res.0.6	S.Score	G2M.Score	Phase	old.ident	seuratCluster	tSNE_1	tSNE_2	tSNE_3	pseudoTime	pseudoTimeDistance
6978	389282	Comb	0h	sc	A10	S185	L007	1	Comb.0h.sc.A10_S185_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A10	389282	325	389607	212586.978206263	1187.04317580477	0.00555279433922996	8	6152	sc_Comb	S	0	0.252	0.425	Comb	pulldownSC.all	1	0.104737773937093	0.107843438539378	G2M	0	1	-7.72926335078548	14.5532347447564	3.00497904558955	6.23640371659053	4.30421628781129
7651	378886	Comb	0h	sc	A11	S193	L007	1	Comb.0h.sc.A11_S193_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A11	378886	270	379156	210953.862331884	1138.88225596779	0.00536973699020642	8	6734	sc_Comb	S	0.205	0.164	0.444	Comb	pulldownSC.all	1	0.287578927321341	0.0126759844144969	S	0	1	-4.1635309100257	8.40499585690447	4.24177439534613	10.6570943277635	-0.612124041913058
6073	228077	Comb	0h	sc	A12	S201	L007	1	Comb.0h.sc.A12_S201_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A12	228077	220	228297	253717.103396157	1579.44544437075	0.00618670895295716	9	5477	sc_Comb	S	0.177	0.04	0.244	Comb	pulldownSC.all	1	0.165792023223584	0.0560466928573535	S	0	1	-10.1520419382688	17.0881735646755	3.85939049721199	3.31924461457586	5.77543364982627
7425	471005	Comb	0h	sc	A2	S121	L007	1	Comb.0h.sc.A2_S121_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A2	471005	388	471393	209662.586359326	1072.41295015304	0.00508891714080261	8	6468	sc_Comb	G2M	0.057	0.943	0	Comb	pulldownSC.all	1	-0.0309672088705725	0.297181776080192	G2M	0	1	-9.1992117427348	7.54942905490892	7.56505628317813	6.52094910544478	-2.77472734948879
7796	604501	Comb	0h	sc	A3	S129	L007	1	Comb.0h.sc.A3_S129_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A3	604501	312	604813	218679.916854743	654.105380184929	0.00298223400783815	6	6645	sc_Comb	G2M	0	0.753	0.625	Comb	pulldownSC.all	1	0.215433307190072	0.116361710417646	S	0	1	-10.9823646585601	7.15027709793903	7.75095435970023	5.28447659597467	-3.77503504478191
8794	476141	Comb	0h	sc	A4	S137	L007	1	Comb.0h.sc.A4_S137_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A4	476141	99	476240	205706.88110662	305.029377911081	0.00148063952804314	6	7677	sc_Comb	G2M	0	1	0	Comb	pulldownSC.all	1	-0.166632589452093	0.705852513789562	G2M	0	1	-15.2209689007314	10.6799299477272	4.6447744458831	1.24218320824936	-2.0584479569784
7583	415565	Comb	0h	sc	A5	S145	L007	1	Comb.0h.sc.A5_S145_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A5	415565	289	415854	214100.678596441	873.462360870932	0.00406310432027439	6	6656	sc_Comb	S	0.202	0.448	0	Comb	pulldownSC.all	1	0.018451223056568	0.361648016608992	G2M	0	1	-11.8326081093048	12.3635102783631	7.7374042636735	3.04488073059454	0.765500002120579
8710	496277	Comb	0h	sc	A6	S153	L007	1	Comb.0h.sc.A6_S153_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A6	496277	320	496597	211083.986295128	882.751684208854	0.00416457644545583	9	7544	sc_Comb	G2M	0	0.839	0.723	Comb	pulldownSC.all	1	0.226951371095544	0.140684458049483	S	0	1	-15.4424741303992	12.8314779935418	6.19858215080075	0.225310274559166	-0.143740477227343
7573	578419	Comb	0h	sc	A7	S161	L007	1	Comb.0h.sc.A7_S161_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A7	578419	423	578842	214523.537264371	1071.98535056145	0.00497220599741345	10	6391	sc_Comb	S	0	0.095	0.41	Comb	pulldownSC.all	1	-0.0128544098960554	0.0586953622607975	G2M	0	1	-9.93809409604555	12.9745700640257	8.42072150145394	4.24570769873584	2.03162420403018
6063	233769	Comb	0h	sc	A8	S169	L007	1	Comb.0h.sc.A8_S169_L007_R1_001.Aligned.out_unique.bam	Comb_0h_sc	Comb_0h_sc_A8	233769	46	233815	181245.025450969	240.234296782633	0.00132371244428632	7	5410	sc_Comb	S	0.021	0.011	0.772	Comb	pulldownSC.all	1	0.215121524185965	-0.0661696774626529	S	0	1	-12.7513041663772	6.94983511932629	9.51668014820314	3.80364727387293	-4.60590762279762
